Player,Team,Pos,RkOv,FPts,PPG,Ros%,G1 Start,ADP,Big 3 ADP,Starts,% Starts,% SiS,PPS,Median PPS,Median - Mean,PP90,xPP90,xPP90 Δ,gPPS,gPPS Form,23/24 gPPS,gPP90,Ceiling,Floor,GACS%,Mins,Total SP,SPP90,SP%,SP Reliance%,Prev SP,Prev FPts,Prev gPts,ProjFPts,ProjGPts,ProjMins,ProjGS,Big 3 Ros%,ROS Rank,+/-,WARPS,WAR,Last Updated
Mohamed Salah,LIV,F,1,716.25,19.36,100,checked,4.70,5.00,38,100,100,19.3,18.5,-0.8,19.6,18.1,1.5,9.7,7.8,,9.8,29.8,8.8,50,3368,11,0.3,4,14,0,,9.00,16.5,8.4,88,1,100,3,0,0.10,3.80,7/9/2025 11:06pm
Bryan Mbeumo,BRF,F,2,563.25,15.22,100,checked,43.40,30.00,38,100,100,15.3,13.8,-1.6,15.4,13.5,1.8,9.4,11.7,,9.4,26.0,4.6,40,3412,129,3.4,53,20,2,,9.50,12.9,8.2,88,1,100,4,-2,0.06,2.47,6/27/2025 12:40pm
Cole Palmer,CHE,M,3,554.25,15.40,100,checked,3.50,4.00,36,95,97,15.7,11.1,-4.5,16.0,16.8,-0.9,10.4,9.0,,10.6,27.4,3.9,36,3184,105,3.0,39,18,1,,9.00,15.7,10.0,87,1,100,2,-1,0.09,3.14,6/27/2025 10:05am
Bruno Fernandes,MUN,M,4,486.50,13.90,100,checked,5.60,3.00,35,92,95,14.3,12.0,-2.3,15.0,15.3,-0.3,10.4,11.2,,11.0,24.8,3.7,31,3016,136,4.1,59,27,1,,10.00,14.0,10.0,88,1,100,9,-3,0.07,2.57,6/27/2025 12:40pm
Matheus Cunha,WOL,F,5,464.25,14.51,99,checked,61.70,47.00,29,76,88,14.8,12.5,-2.3,16.4,14.6,1.9,9.3,8.2,,10.5,24.6,5.0,38,2588,103,3.6,68,8,8,,7.50,14.2,9.6,84,1,100,7,-2,0.06,1.76,6/27/2025 12:40pm
Alexander Isak,NEW,F,6,460.75,13.96,99,checked,11.60,11.50,34,89,100,13.7,12.6,-1.0,15.2,14.1,1.1,6.5,4.2,,7.2,25.0,2.3,52,2751,10,0.3,4,10,0,,3.50,12.6,6.2,79,1,100,32,-9,0.05,1.72,6/27/2025 12:40pm
Daniel Munoz,CRY,D,7,453.25,12.59,100,checked,60.30,50.50,37,97,100,12.4,12.8,0.4,12.8,12.9,-0.2,11.4,12.3,,11.8,18.7,6.0,32,3229,2,0.1,1,2,0,,6.25,4.3,7.6,88,1,100,60,17,0.06,2.06,6/27/2025 12:40pm
Erling Haaland,MCI,F,8,418.50,13.95,100,checked,1.60,2.00,31,82,97,14.0,13.0,-1.0,14.2,14.4,-0.1,7.2,5.3,,7.4,23.5,4.4,50,2735,5,0.2,2,9,1,,5.00,13.4,6.5,87,1,100,12,5,0.05,1.65,6/27/2025 12:40pm
Antonee Robinson,FUL,D,9,414.75,11.85,97,checked,71.90,64.50,35,92,97,11.9,10.5,-1.4,12.0,11.3,0.7,12.2,11.9,,12.4,19.5,4.2,24,3165,0,0.0,0,0,0,,10.00,5.9,8.2,89,1,96,67,-47,0.05,1.78,6/27/2025 12:40pm
Jarrod Bowen,WHU,M,10,414.00,12.55,100,checked,21.30,20.00,34,89,100,12.9,13.0,0.1,13.3,11.3,2.0,7.4,5.5,,7.6,20.7,5.1,44,2972,49,1.5,27,10,0,,9.75,13.9,8.8,88,1,100,6,4,0.06,2.03,6/27/2025 12:40pm
Antoine Semenyo,BOU,F,11,411.00,11.42,100,checked,97.70,71.50,36,95,97,11.9,11.3,-0.6,12.2,11.8,0.5,8.5,6.7,,8.7,18.7,5.0,32,3200,3,0.1,1,2,0,,5.50,15.5,9.5,82,1,100,8,6,0.03,1.26,6/27/2025 12:40pm
Luis Diaz,LIV,F,12,404.75,11.56,99,checked,23.30,25.50,28,74,74,13.7,11.1,-2.6,15.6,14.8,0.8,8.4,8.5,,9.6,23.4,4.0,39,2381,1,0.0,0,1,0,,7.50,11.8,7.4,78,1,100,17,16,0.05,1.43,6/27/2025 12:40pm
Alex Iwobi,FUL,M,13,397.00,10.73,99,checked,103.60,69.50,35,92,92,11.2,9.3,-1.9,12.1,11.1,1.0,7.7,7.0,,8.5,18.8,3.5,31,2971,3,0.1,1,2,0,,,7.9,5.8,81,1,100,48,-4,0.04,1.47,6/27/2025 12:40pm
Eberechi Eze,CRY,M,14,392.75,11.90,99,checked,11.40,8.00,31,82,91,12.0,13.3,1.2,13.9,14.5,-0.6,8.3,6.2,,9.6,18.2,5.8,33,2581,112,3.9,61,18,0,,5.25,9.2,6.6,83,1,100,19,-8,0.05,1.58,6/27/2025 12:40pm
Trent Alexander-Arnold,LIV,D,15,384.25,12.01,94,checked,14.20,13.00,28,74,82,12.5,11.1,-1.4,14.9,14.8,0.1,9.8,,,11.4,20.6,4.5,39,2356,71,2.7,33,7,8,,,11.7,8.2,82,1,100,82,3,0.06,1.61,6/27/2025 12:40pm
Enzo Fernandez,CHE,M,16,381.00,10.89,96,checked,120.50,133.00,32,84,89,11.4,10.8,-0.7,11.8,11.6,0.2,8.6,6.7,,8.8,18.6,4.2,29,2936,83,2.5,33,9,0,,1.50,11.1,8.5,87,1,100,16,2,0.04,1.43,6/27/2025 12:40pm
Nathan Collins,BRF,D,17,379.00,10.24,84,checked,365.60,300.00,38,100,100,10.1,9.1,-0.9,10.1,9.3,0.7,10.1,9.4,,10.1,17.2,2.9,31,3420,0,0.0,0,0,0,,5.00,7.8,8.5,90,1,100,89,3,0.03,1.24,6/27/2025 12:40pm
Yoane Wissa,BRF,F,18,375.75,11.05,98,checked,118.70,115.00,34,89,97,11.1,12.0,0.9,11.7,11.2,0.5,5.5,6.3,,5.8,18.8,3.4,52,2916,1,0.0,0,0,0,,4.50,8.6,4.5,83,1,100,73,-26,0.03,0.97,6/27/2025 12:40pm
Chris Wood,NOT,F,19,372.25,10.64,94,checked,134.00,107.00,35,92,97,10.6,12.0,1.4,11.4,9.5,1.9,5.0,4.6,,5.4,18.9,2.3,53,2954,3,0.1,1,10,0,,0.25,8.3,4.7,83,1,100,83,-44,0.02,0.85,6/27/2025 12:40pm
Mark Flekken,BRF,G,20,369.50,10.26,88,checked,300.00,300.00,37,97,100,10.3,10.3,-0.0,10.5,10.2,0.2,11.4,9.3,,11.6,16.5,4.0,18,3275,0,0.0,0,0,0,,13.00,7.7,7.7,90,1,100,200,0,0.03,1.20,6/27/2025 12:40pm
Virgil van Dijk,LIV,D,21,368.50,10.24,98,checked,44.10,52.50,37,97,97,10.3,10.3,-0.0,10.3,10.1,0.2,9.3,10.1,,9.3,15.8,4.7,32,3330,1,0.0,0,0,0,,15.50,11.4,9.4,89,1,100,33,22,0.03,1.29,6/27/2025 12:40pm
Morgan Gibbs-White,NOT,M,22,363.50,11.02,100,checked,27.20,18.00,34,89,100,10.7,8.4,-2.4,11.7,10.6,1.1,7.2,6.8,,7.9,18.7,2.8,39,2801,5,0.2,3,4,0,,1.25,8.6,6.1,85,1,100,36,-21,0.04,1.28,6/27/2025 12:40pm
Mikkel Damsgaard,BRF,M,23,357.00,9.65,84,checked,402.60,300.00,34,89,89,10.3,9.6,-0.7,11.2,11.1,0.1,7.8,5.0,,8.6,17.4,3.2,25,2899,78,2.4,37,10,2,,3.75,10.1,8.0,81,1,100,45,-21,0.03,1.13,6/27/2025 12:40pm
Morgan Rogers,AVL,M,24,354.50,9.85,99,checked,104.50,83.00,37,97,100,9.5,9.3,-0.3,10.2,9.3,0.9,6.0,7.2,,6.5,17.2,1.9,42,3111,0,0.0,0,0,0,,0.50,7.6,4.4,81,1,96,50,8,0.03,0.95,6/27/2025 12:40pm
Ollie Watkins,AVL,F,25,353.00,9.54,100,checked,8.10,11.00,31,82,82,10.8,11.8,0.9,12.3,11.1,1.2,4.9,4.8,,5.7,19.4,2.3,54,2585,2,0.1,1,11,0,,1.50,10.3,5.1,83,1,100,13,0,0.03,0.81,6/27/2025 12:40pm
Justin Kluivert,BOU,M,26,353.00,10.70,89,checked,151.10,154.50,29,76,85,11.0,6.5,-4.5,13.8,13.0,0.9,6.8,2.9,,8.3,22.0,0.1,44,2331,43,1.6,21,25,3,,4.25,14.5,7.9,72,1,100,15,6,0.04,1.17,6/27/2025 12:40pm
James Tarkowski,EVE,D,27,352.75,10.69,56,,57.40,38.00,33,87,100,10.7,11.5,0.8,10.9,11.3,-0.4,11.0,,,11.2,16.8,4.6,22,2922,0,0.0,0,0,0,,,,,,,3,200,0,0.04,1.29,6/27/2025 12:40pm
Nikola Milenkovic,NOT,D,28,352.50,9.79,83,checked,371.10,169.50,37,97,100,9.7,9.5,-0.2,9.7,,,8.5,8.7,,8.5,15.6,3.8,40,3330,0,0.0,0,0,0,,8.50,3.9,5.8,90,1,100,200,0,0.03,1.08,6/27/2025 12:40pm
Youri Tielemans,AVL,M,29,352.00,10.06,81,,141.70,157.00,35,92,97,10.1,10.3,0.2,10.6,10.8,-0.2,8.2,7.3,,8.7,15.2,5.0,21,3024,105,3.1,40,19,0,,,9.8,7.4,83,0,100,74,126,0.03,1.08,6/27/2025 12:40pm
Kaoru Mitoma,BHA,M,30,351.25,10.04,96,checked,44.10,37.00,28,74,78,10.7,9.5,-1.2,12.6,12.3,0.3,7.5,,,8.3,17.3,4.2,35,2588,0,0.0,0,0,0,,,12.5,8.3,86,0,100,30,-2,0.04,1.06,6/27/2025 12:40pm
Josko Gvardiol,MCI,D,31,350.50,9.74,100,checked,39.60,46.00,36,95,95,10.1,9.4,-0.7,10.1,,,9.0,7.0,,9.0,16.0,4.2,35,3276,0,0.0,0,0,0,,12.25,8.0,7.3,88,1,100,68,-20,0.03,1.20,6/27/2025 12:40pm
Pedro Porro,TOT,D,32,346.00,10.81,96,checked,34.00,31.00,28,74,74,11.8,12.1,0.3,12.0,11.4,0.6,12.2,14.3,,12.2,20.0,3.7,28,2599,72,2.5,31,16,1,,11.25,8.6,9.9,89,0,100,98,-19,0.05,1.41,6/27/2025 12:40pm
Jacob Murphy,NEW,M,33,345.75,10.17,94,checked,133.80,117.00,31,82,84,10.6,8.0,-2.6,13.3,11.6,1.7,6.0,5.8,,7.4,19.1,2.1,46,2351,16,0.6,8,2,1,,1.50,9.6,6.3,75,1,100,79,8,0.04,1.13,6/27/2025 12:40pm
Bukayo Saka,ARS,M,34,339.50,14.15,100,checked,2.40,1.00,20,53,80,15.9,13.8,-2.2,18.0,17.3,0.7,10.2,9.6,,11.5,27.6,4.2,37,1719,69,3.6,42,17,1,,,20.3,13.4,82,1,100,1,3,0.09,1.80,6/27/2025 12:40pm
Aaron Wan-Bissaka,WHU,D,35,336.75,9.62,87,checked,150.00,167.00,35,92,95,10.0,8.5,-1.5,10.1,9.7,0.4,10.8,10.9,,10.9,17.1,3.0,28,3151,0,0.0,0,0,0,,11.00,10.5,9.8,88,1,100,41,15,0.03,1.13,6/27/2025 12:40pm
Dominik Szoboszlai,LIV,M,36,331.00,9.46,98,,53.00,42.50,29,76,81,11.3,9.5,-1.8,12.2,12.1,0.1,7.3,9.2,,8.1,20.9,1.6,37,2479,23,0.8,10,5,3,,5.50,11.7,7.6,79,0,100,34,23,0.04,1.25,6/27/2025 12:40pm
Milos Kerkez,BOU,D,37,329.75,8.91,87,checked,232.10,176.00,38,100,100,9.0,6.3,-2.7,9.2,8.3,0.9,8.5,8.9,,8.7,15.5,2.5,34,3336,11,0.3,4,1,0,,6.00,11.6,8.2,85,1,100,38,31,0.02,0.84,6/27/2025 12:40pm
Rayan Ait-Nouri,WOL,D,38,327.75,9.10,95,checked,119.90,146.00,37,97,100,9.2,7.0,-2.2,9.9,10.2,-0.4,9.7,11.7,,10.4,17.5,0.9,39,3108,36,1.0,20,8,1,,14.25,8.3,8.1,81,1,100,127,13,0.02,0.89,6/27/2025 12:40pm
Matz Sels,NOT,G,39,326.25,8.82,83,checked,300.00,300.00,38,100,100,8.7,8.3,-0.5,8.7,8.5,0.3,8.4,8.8,,8.4,14.7,2.8,33,3420,0,0.0,0,0,0,,7.25,7.7,7.7,90,1,100,200,0,0.02,0.65,6/27/2025 12:40pm
Jordan Pickford,EVE,G,40,325.00,8.78,97,checked,300.00,300.00,38,100,100,9.2,8.3,-0.9,9.2,8.5,0.7,8.7,10.9,,8.7,15.6,2.8,30,3420,0,0.0,0,0,0,,16.00,7.7,7.7,90,1,100,200,0,0.02,0.82,6/27/2025 12:40pm
Raul Jimenez,FUL,F,41,324.75,8.78,81,checked,377.00,166.50,30,79,79,10.4,9.9,-0.5,11.9,12.0,-0.1,6.3,7.5,,7.6,18.2,2.6,38,2476,4,0.1,2,12,0,,3.50,8.3,4.7,74,1,100,59,11,0.02,0.66,6/27/2025 12:40pm
